municipalityId,municipalityName,referenceYear,dcaCommitted,siopeMdeApplied,rreoMdeApplied,canonicalMdeApplied,reconciliationStatus,absoluteDifference,percentageDifference,dcaComparableToMde
4300109,Agudo,2024,25722214.85,19159995.28,19159995.28,19159995.28,reconciled,0.0,0.0,false
4313375,Nova Santa Rita,2024,65292191.64,41081400.41,41081400.41,41081400.41,reconciled,0.0,0.0,false
4314902,Porto Alegre,2024,1115925346.24,1424896330.81,1424896330.81,1424896330.81,reconciled,0.0,0.0,false
4300661,André da Rocha,2024,6461819.76,8465484.73,8465484.73,8465484.73,reconciled,0.0,0.0,false
4300638,Amaral Ferrador,2024,9958461.39,7418492.4,7418492.4,7418492.4,reconciled,0.0,0.0,false
4316808,Santa Cruz do Sul,2024,185759300.34,128508460.24,128508460.24,128508460.24,reconciled,0.0,0.0,false
4300877,Araricá,2024,30493442.28,17261610.03,17261610.03,17261610.03,reconciled,0.0,0.0,false
4301875,Barra do Quaraí,2024,9705420.92,8526669.05,8526669.05,8526669.05,reconciled,0.0,0.0,false
