reference_year,period,source_id,municipalities_expected,municipalities_covered,coverage_rate,municipalities_reconciled,municipalities_partial,municipalities_source_missing,municipalities_divergent,municipalities_unavailable
2024,6,fnde_siope_indicators_odata_2024_p6,497,497,1.0,497,0,0,0,0
2024,6,fnde_siope_rreo_annex8_2024_p6,497,497,1.0,497,0,0,0,0
